,Moon,Sun,Planets,Stars,Meteorits,BorealAuroras,OrbitingSatellites,AtmosphericSatellitesReentry,RocketLaunch,StratosphericBalloons,Clouds,NoctiluscentsClouds,IsolatedClouds,Lightning,BallLightning,HighAltitudePlanes,LowAltitudePlanes,Helicopters,WeatherBalloonsOrMongolfieres,Parachute,Birds,Insects,SwampGas,Smokes,Kite,OpticalIllusions,Mirages,Hallucination,PureInvention,TerrestrialVehicle,Boat,SpotlightsOnClouds,SmallObjectsFloatingInWind
HynekClassification.NocturnalLight,1,0,1,1,1,1,1,1,1,0.5,0.5,1,0.5,1,1,1,1,1,0.5,0.5,0,0,1,0.5,0.5,1,1,1,1,1,1,1,0.1
HynekClassification.DaylightDisc,0,1,0.1,0,0,0,0,0.5,1,1,1,0,1,1,1,1,0.1,0.5,0.5,0.5,0.5,0.1,0,0.5,0.1,0.5,1,1,1,0,0,0,1
HynekClassification.RadarVisual,0,0,0,0,0,0,0,0.1,1,1,0,0,0,0.1,0.1,1,1,1,1,1,0.5,0,0,0,0.1,0,0.5,0,0,0.1,0.1,0,0
HynekClassification.CloseEncounter1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,1,0,0.5,0.1,1,1,1,1,1,1,0.5,0,0,1,1,1,0.5,0.5,0.1
HynekClassification.CloseEncounter2,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,1,0,0.1,0.1,0,0,0,0,0.1,0.1,0,0.1,0.1,1,1,0,0,0,0
HynekClassification.CloseEncounter3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,1,1,1,0.1,0,0
Date.MatchingGivenEventOrAstronomicalEphemerid,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0.5
Date.Recurrent,1,1,1,1,1,0.5,0.5,0.1,0.1,0.1,1,1,1,1,1,1,0.1,0.1,1,0.1,0.1,0,0,0.5,0.1,0.1,0.1,1,1,0.5,0.5,1,0.1
Date.AnyAndNonVisibleCelestialBody,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Place.FarFromGivenSite,1,1,1,1,1,1,1,1,0,0.5,0.5,1,1,1,1,1,0.5,0.5,0.1,0.5,1,1,0,0,1,1,0.5,1,1,0.5,0.5,1,0.5
