event,time,magnitude,band,source
SN1987A,46849.44,6.36,V,"1987IAUC.4495....1M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46849.62,6.11,V,"1987IAUC.4495....1M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46850.45,4.81,V,"1987IAUC.4313....1M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46850.8,4.63,V,"1987IAUC.4320....1F,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46850.82,4.62,V,"1987MNRAS.227P..39M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46851.11,4.63,V,"1987IAUC.4336....1M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46851.22,4.57,V,"1987IAUC.4336....1M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46851.22,4.63,V,"1987IAUC.4317....1H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46851.87,4.52,V,"1987MNRAS.227P..39M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46851.9,4.52,V,"1987IAUC.4320....1F,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46852.04,4.49,V,"1987IAUC.4336....1M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46852.17,4.5,V,"1987IAUC.4336....1M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46852.18,4.52,V,"1987IAUC.4336....1M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46852.24,4.52,V,"1987IAUC.4336....1M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46852.78,4.49,V,"1987MNRAS.227P..39M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46852.8,4.44,V,"1987IAUC.4388....1W,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46852.86,4.45,V,"1987MNRAS.227P..39M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46852.94,4.45,V,"1987MNRAS.227P..39M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46853.0,4.43,V,"1987SSRvA......500C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46853.06,4.45,V,"1987IAUC.4336....1M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46853.08,4.46,V,"1987IAUC.4336....1M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46853.09,4.47,V,"1987IAUC.4336....1M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46853.93,4.43,V,"1987MNRAS.227P..39M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46854.0,4.42,V,"1987SSRvA......500C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46854.06,4.48,V,"1987IAUC.4336....1M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46854.13,4.49,V,"1987IAUC.4336....1M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46854.2,4.43,V,"1987IAUC.4336....1M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46854.86,4.45,V,"1987MNRAS.227P..39M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46855.03,4.46,V,"1987IAUC.4336....1M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46855.07,4.45,V,"1987IAUC.4336....1M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46855.14,4.5,V,"1987IAUC.4336....1M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46855.2,4.47,V,"1987SSRvA......500C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46855.2,4.5,V,"1987IAUC.4336....1M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
