OS And    1986 2446767 2446773  6.5  11  23  199  770  17.5   ---  D(23)
CI Aql    2000 2451660 2451672  9.0  25  32  417  ---  16.7   550  P(32)
DO Aql    1925 2424411 2424470  8.5 295 900 1280  ---  18.0   ---  F(900)
V356 Aql  1936 2428399 2428445  7.0 127 140  580  ---  18.3   ---  J(140)
V528 Aql  1945 2431693 2431696  6.9  16  38  119  ---  18.5   ---  S(38)
V603 Aql  1918 2421749 2421755 -0.5   5  12  149  743  11.7  6800  O(12)
V1229 Aql 1970 2440689 2440690  6.6  18  32   56  ---  18.1   ---  P(32)
V1370 Aql 1982 2444998 2444999  7.7  15  28  199  ---  18.0   ---  D(28)
V1419 Aql 1993 2449124 2449130  7.6  25  32  486 2000 ~21.    ---  D(32)
V1425 Aql 1995 2449755 2449757  8.0  27  79  564 1276 ~20.    ---  S(79)
V1493 Aql 1999 2451372 2451374 10.1   9  50  170  --- ~21.    ---  C(50)
V1494 Aql 1999 2451514 2451516  4.1   8  16  170  478  17.1  2500  O(16)
T Aur     1891 2412077 2412083  4.5  80  84   96 6300  14.9   ---  D(84)
V705 Cas  1993 2449325 2449340  5.7  33  67   75 1529  16.4  2500  D(67)
V723 Cas  1995 2449956 2450072  7.1 263 299 1215  ---  15.7  3000a J(299)
V842 Cen  1986 2446756 2446760  4.9  43  48   60 1213  15.8   ---  D(48)
V868 Cen  1991 2448347 2448349  8.7  31  82  450  ---  19.9   ---  J(82)
V888 Cen  1995 2449771 2449774  8.0  38  90  302  ---  15.2   400  O(90)
V1039 Cen 2001 2452185 2452185  9.3  25 174  850  --- ~21.    ---  J(174)
BY Cir    1995 2449745 2449746  7.4  35 124  628  ---  17.9   ---  P(124)
DD Cir    1999 2451410 2451415  7.6   5  16  ---  ---  20.2   ---  P(16)
V693 CrA  1981 2444696 2444698  7.0  10  18  ---  --- >21.    ---  S(18)
T CrB     1946 2431860 2431860  2.5   4   6   15  ---   9.8    93  S(6)
V476 Cyg  1920 2422559 2422560  1.9   6  16   43 1076  16.2 14000  D(16)
V1330 Cyg 1970 2440761 2440767  9.9 161 217  ---  ---  17.5   ---  S(217)
V1500 Cyg 1975 2442654 2442655  1.9   2   4   32  263  17.9  3400a S(4)
V1668 Cyg 1978 2443761 2443766  6.2  11  26  219  948  19.7   ---  S(26)
V1819 Cyg 1986 2446645 2446648  9.3  95 181 1073  ---  17.0   ---  J(181)
V1974 Cyg 1992 2448671 2448675  4.3  19  43  321  847  16.9  4000a P(43)
V2274 Cyg 2001 2452103 2452115 11.5  22  33  200  --- >20.    ---  D(33)
V2275 Cyg 2001 2452139 2452142  6.9   3   8   75  472  18.4   ---  S(8)
V2362 Cyg 2006 2453829 2453832  8.1   9 246  312  884 >21.    ---  C(246)
